experiment_id,transcript_id,model_name,technique_name,name_en,human_evaluator_score,human_evaluator_comments
"59","9","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","grilled fish","",""
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","spice mix","",""
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","shallots","",""
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","coriander leaves","",""
"62","12","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"64","14","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"65","15","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"66","16","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","cooked fish","",""
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","cooked fish bones","",""
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","ginger","",""
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"77","27","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"78","28","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"81","31","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"84","34","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","chicken meat","",""
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"86","36","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"94","44","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"96","46","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"97","47","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","chicken meat","",""
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","red onions","",""
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","shallow-fried potato with onion","",""
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","grilled tuna","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","tuna roe","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","red onion","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","mushroom tomato","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","white onion","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"101","1","Qwen 2.5 3B Instruct","zero-shot","","",""
"102","2","Qwen 2.5 3B Instruct","zero-shot","","",""
"103","3","Qwen 2.5 3B Instruct","zero-shot","","",""
"104","4","Qwen 2.5 3B Instruct","zero-shot","","",""
"105","5","Qwen 2.5 3B Instruct","zero-shot","","",""
"106","6","Qwen 2.5 3B Instruct","zero-shot","","",""
"107","7","Qwen 2.5 3B Instruct","zero-shot","","",""
"108","8","Qwen 2.5 3B Instruct","zero-shot","","",""
"109","9","Qwen 2.5 3B Instruct","zero-shot","","",""
"110","10","Qwen 2.5 3B Instruct","zero-shot","","",""
"111","11","Qwen 2.5 3B Instruct","zero-shot","","",""
"112","12","Qwen 2.5 3B Instruct","zero-shot","","",""
"113","13","Qwen 2.5 3B Instruct","zero-shot","","",""
"114","14","Qwen 2.5 3B Instruct","zero-shot","","",""
"115","15","Qwen 2.5 3B Instruct","zero-shot","","",""
"116","16","Qwen 2.5 3B Instruct","zero-shot","","",""
"117","17","Qwen 2.5 3B Instruct","zero-shot","","",""
"118","18","Qwen 2.5 3B Instruct","zero-shot","","",""
"119","19","Qwen 2.5 3B Instruct","zero-shot","","",""
"120","20","Qwen 2.5 3B Instruct","zero-shot","","",""
"121","21","Qwen 2.5 3B Instruct","zero-shot","","",""
"122","22","Qwen 2.5 3B Instruct","zero-shot","","",""
"123","23","Qwen 2.5 3B Instruct","zero-shot","","",""
"124","24","Qwen 2.5 3B Instruct","zero-shot","","",""
"125","25","Qwen 2.5 3B Instruct","zero-shot","","",""
"126","26","Qwen 2.5 3B Instruct","zero-shot","","",""
"127","27","Qwen 2.5 3B Instruct","zero-shot","","",""
"128","28","Qwen 2.5 3B Instruct","zero-shot","","",""
"129","29","Qwen 2.5 3B Instruct","zero-shot","","",""
"130","30","Qwen 2.5 3B Instruct","zero-shot","","",""
"131","31","Qwen 2.5 3B Instruct","zero-shot","","",""
"132","32","Qwen 2.5 3B Instruct","zero-shot","","",""
"133","33","Qwen 2.5 3B Instruct","zero-shot","","",""
"134","34","Qwen 2.5 3B Instruct","zero-shot","","",""
"135","35","Qwen 2.5 3B Instruct","zero-shot","","",""
"136","36","Qwen 2.5 3B Instruct","zero-shot","","",""
"137","37","Qwen 2.5 3B Instruct","zero-shot","","",""
"138","38","Qwen 2.5 3B Instruct","zero-shot","","",""
"139","39","Qwen 2.5 3B Instruct","zero-shot","","",""
"140","40","Qwen 2.5 3B Instruct","zero-shot","","",""
"141","41","Qwen 2.5 3B Instruct","zero-shot","","",""
"142","42","Qwen 2.5 3B Instruct","zero-shot","","",""
"143","43","Qwen 2.5 3B Instruct","zero-shot","","",""
"144","44","Qwen 2.5 3B Instruct","zero-shot","","",""
"145","45","Qwen 2.5 3B Instruct","zero-shot","","",""
"146","46","Qwen 2.5 3B Instruct","zero-shot","","",""
"147","47","Qwen 2.5 3B Instruct","zero-shot","","",""
"148","48","Qwen 2.5 3B Instruct","zero-shot","","",""
"149","49","Qwen 2.5 3B Instruct","zero-shot","","",""
"150","50","Qwen 2.5 3B Instruct","zero-shot","","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","red beans","",""
"151","1","Gemma-SEA-LION v4 4B","zero-shot","chili paste","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","tamarind juice","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","red onion","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","garlic","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","dried mackerel","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","chili sauce","",""
"152","2","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","ladies finger","",""
"153","3","Gemma-SEA-LION v4 4B","zero-shot","preserved radish","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot"," peanuts","",""
"154","4","Gemma-SEA-LION v4 4B","zero-shot"," sambal oelek","",""
"155","5","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"155","5","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"155","5","Gemma-SEA-LION v4 4B","zero-shot","tamarind paste","",""
"155","5","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"155","5","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"155","5","Gemma-SEA-LION v4 4B","zero-shot"," peanuts","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","rice washing water","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","red beans","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","spicy chili paste","",""
"157","7","Gemma-SEA-LION v4 4B","zero-shot","galangal","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","ladies finger","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","soy sauce","",""
"158","8","Gemma-SEA-LION v4 4B","zero-shot","chilli paste","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","rice water","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","turmeric","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","chili sauce","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","galangal","",""
"159","9","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","dried anchovies","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","preserved vegetables","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","red onion","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","garlic","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","vinegar","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","lemongrass","",""
"160","10","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","rice soaking water","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","preserved vegetables","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","ginger flower buds","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","sugar palm","",""
"162","12","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","turmeric","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","lime juice","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"164","14","Gemma-SEA-LION v4 4B","zero-shot","red beans","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","turmeric","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","ladies finger","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","chili peppers","",""
"165","15","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","preserved vegetables","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","jackfruit","",""
"166","16","Gemma-SEA-LION v4 4B","zero-shot","spicy chili sauce","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","dried anchovies","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","red beans","",""
"167","17","Gemma-SEA-LION v4 4B","zero-shot","spicy chili paste","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","almonds","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","chili sauce","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","ginger","",""
"168","18","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","candlenut paste","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","butterfly pea flower","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","red onion","",""
"171","21","Gemma-SEA-LION v4 4B","zero-shot","chili peppers","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","rice soaking water","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","preserved cucumber","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","carambola","",""
"172","22","Gemma-SEA-LION v4 4B","zero-shot","sambal oelek","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","water","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","ladyfingers","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","chili sauce","",""
"173","23","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","dried anchovies","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","almonds","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","hard-boiled egg","",""
"175","25","Gemma-SEA-LION v4 4B","zero-shot","chili paste","",""
"176","26","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"176","26","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"176","26","Gemma-SEA-LION v4 4B","zero-shot","candlenuts","",""
"176","26","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"176","26","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"176","26","Gemma-SEA-LION v4 4B","zero-shot","preserved radish","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","almonds","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","chili paste with shrimp paste","",""
"177","27","Gemma-SEA-LION v4 4B","zero-shot","cucumber","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","turmeric","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","anuts","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"178","28","Gemma-SEA-LION v4 4B","zero-shot","chilli paste","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","candlenuts","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","crackers","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"179","29","Gemma-SEA-LION v4 4B","zero-shot","tomato","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","coconut water","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","almonds","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","ginger","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","vinegar","",""
"180","30","Gemma-SEA-LION v4 4B","zero-shot","chili sauce","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","assam Boi Paste","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","dried anchovies","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","red beans","",""
"181","31","Gemma-SEA-LION v4 4B","zero-shot","lemongrass","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","rice soaking water","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","anchovies","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","almonds","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","belacan chili paste","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","galangal","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","scallions","",""
"183","33","Gemma-SEA-LION v4 4B","zero-shot","to taste","",""
"184","34","Gemma-SEA-LION v4 4B","zero-shot","rice","",""
"184","34","Gemma-SEA-LION v4 4B","zero-shot","pandan leaves","",""
"184","34","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","",""
"184","34","Gemma-SEA-LION v4 4B","zero-shot","egg","",""
