experiment_id,transcript_id,model_name,technique_name,total_calories,total_protein_g,total_fat_g,total_carbohydrate_g,serving_calories,servings_estimated
"25","25","Llama 3.2 3B Instruct","zero-shot","1058.7","51.7","44.2","60.4","250.0","4"
"26","26","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"27","27","Llama 3.2 3B Instruct","zero-shot","10852.9","42.5","579.7","1908.3","1231.2","4"
"28","28","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"29","29","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"30","30","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"31","31","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"32","32","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"33","33","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"34","34","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","2"
"35","35","Llama 3.2 3B Instruct","zero-shot","112.9","3.5","7.8","14.2","112.9","4"
"36","36","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"37","37","Llama 3.2 3B Instruct","zero-shot","3351.9","59.9","173.4","182.6","1045.6","4"
"38","38","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"39","39","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"40","40","Llama 3.2 3B Instruct","zero-shot","3582.3","103.7","313.9","202.4","1420.8","4"
"41","41","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"42","42","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"43","43","Llama 3.2 3B Instruct","zero-shot","135.8","3.4","7.3","21.5","135.8","4"
"44","44","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"45","45","Llama 3.2 3B Instruct","zero-shot","1416.0","28.0","80.0","159.0","510.5","4"
"46","46","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"47","47","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"48","48","Llama 3.2 3B Instruct","zero-shot","124.0","3.6","7.2","23.4","124.0","4"
"49","49","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"50","50","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"51","1","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","4"
"52","2","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","409.7","57.2","9.4","126.5","180.5","4"
"54","4","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","4"
"55","5","Phi-4-mini 3.8B Instruct","zero-shot","200.0","15.0","10.0","50.0","200.0","4"
"56","6","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"57","7","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"58","8","Phi-4-mini 3.8B Instruct","zero-shot","250.5","9.6","10.2","45.1","250.5","4"
"59","9","Phi-4-mini 3.8B Instruct","zero-shot","1000.0","24.6","51.0","110.0","500.0","4"
"60","10","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","583.3","80.3","62.7","64.8","250.5","4"
"62","12","Phi-4-mini 3.8B Instruct","zero-shot","3200.0","89.6","182.4","512.5","800.0","4"
"63","13","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"64","14","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"65","15","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","4"
"66","16","Phi-4-mini 3.8B Instruct","zero-shot","1001.2","59.2","40.8","302.1","250.6","4"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","653.0","66.8","37.4","112.3","450.5","4"
"68","18","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"69","19","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"70","20","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","500.0","4"
"71","21","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"72","22","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"73","23","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"74","24","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"75","25","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"76","26","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"77","27","Phi-4-mini 3.8B Instruct","zero-shot","1001.0","120.0","52.8","228.0","250.5","4"
"78","28","Phi-4-mini 3.8B Instruct","zero-shot","350.5","10.5","10.2","45.4","350.5","4"
"79","29","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"80","30","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"81","31","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"82","32","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"83","33","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"84","34","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","4"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","656.5","52.9","44.7","95.6","350.0","4"
"86","36","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"87","37","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"88","38","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"89","39","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"90","40","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"91","41","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"92","42","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"93","43","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"94","44","Phi-4-mini 3.8B Instruct","zero-shot","800.0","34.4","62.0","182.8","200.0","4"
"95","45","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"96","46","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","4"
"97","47","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"98","48","Phi-4-mini 3.8B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","387.4","48.0","21.3","71.5","200.0","4"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","93.5","10.6","10.0","36.3","0.0","4"
"101","1","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"102","2","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"103","3","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"104","4","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"105","5","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"106","6","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"107","7","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"108","8","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"109","9","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"110","10","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"111","11","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"112","12","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"113","13","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"114","14","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"115","15","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"116","16","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"117","17","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"118","18","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"119","19","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"120","20","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"121","21","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"122","22","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"123","23","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"124","24","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"125","25","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"126","26","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"127","27","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"128","28","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"129","29","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"130","30","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"131","31","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"132","32","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"133","33","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"134","34","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"135","35","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"136","36","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"137","37","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"138","38","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"139","39","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"140","40","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"141","41","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"142","42","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"143","43","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"144","44","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"145","45","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"146","46","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"147","47","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"148","48","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"149","49","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"150","50","Qwen 2.5 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","972.0","45.9","68.3","178.3","365.0","1"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","845.0","69.3","36.7","148.7","350.0","1"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","739.0","33.8","71.0","136.0","350.0","1"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","847.0","34.3","61.5","78.7","350.0","1"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","749.0","49.0","47.5","122.0","350.0","1"
"156","6","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","874.0","33.7","29.6","146.5","375.0","1"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","783.0","26.1","52.5","139.0","350.0","1"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","475.0","28.0","23.0","75.0","350.0","1"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","685.0","38.5","43.1","163.5","365.0","1"
"161","11","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","635.0","30.8","27.8","123.5","350.0","1"
"163","13","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","924.0","60.5","39.7","145.9","365.0","1"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","867.0","36.0","63.0","154.0","365.0","1"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","763.0","33.6","64.2","157.4","365.0","1"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","957.0","68.5","51.3","179.4","368.0","1"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","931.0","35.2","84.5","169.7","380.0","1"
"169","19","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"170","20","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","945.0","40.7","61.8","195.6","365.0","1"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","468.0","38.6","25.3","146.4","365.0","1"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","897.0","46.3","64.5","134.9","365.0","1"
"174","24","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","831.0","63.6","74.6","134.9","368.0","1"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","685.0","32.3","39.8","111.0","380.0","1"
"177","27","Gemma-SEA-LION v4 4B","zero-shot","1072.0","60.5","85.3","173.5","375.0","1"
"178","28","Gemma-SEA-LION v4 4B","zero-shot","897.0","57.8","46.3","134.8","378.0","1"
"179","29","Gemma-SEA-LION v4 4B","zero-shot","743.0","46.2","39.7","140.5","365.0","1"
"180","30","Gemma-SEA-LION v4 4B","zero-shot","798.0","38.3","46.3","127.5","365.0","1"
"181","31","Gemma-SEA-LION v4 4B","zero-shot","634.0","47.8","31.2","116.4","350.0","1"
"182","32","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"183","33","Gemma-SEA-LION v4 4B","zero-shot","539.0","30.8","37.4","153.9","365.0","1"
"184","34","Gemma-SEA-LION v4 4B","zero-shot","674.0","38.9","72.8","130.5","365.0","1"
"185","35","Gemma-SEA-LION v4 4B","zero-shot","943.0","60.7","71.4","139.2","365.0","1"
"186","36","Gemma-SEA-LION v4 4B","zero-shot","694.0","44.2","35.6","168.3","385.0","1"
"187","37","Gemma-SEA-LION v4 4B","zero-shot","687.0","46.6","53.4","137.3","375.0","1"
"188","38","Gemma-SEA-LION v4 4B","zero-shot","948.0","38.3","73.6","127.0","360.0","1"
"189","39","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"190","40","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"191","41","Gemma-SEA-LION v4 4B","zero-shot","863.0","56.3","70.6","165.9","365.0","1"
"192","42","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"193","43","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"194","44","Gemma-SEA-LION v4 4B","zero-shot","861.0","31.2","52.8","126.0","365.0","1"
"195","45","Gemma-SEA-LION v4 4B","zero-shot","643.0","38.5","37.1","131.4","365.0","1"
"196","46","Gemma-SEA-LION v4 4B","zero-shot","593.0","35.8","31.4","126.6","368.0","1"
"197","47","Gemma-SEA-LION v4 4B","zero-shot","742.0","48.9","51.1","134.3","385.0","1"
"198","48","Gemma-SEA-LION v4 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"199","49","Gemma-SEA-LION v4 4B","zero-shot","1389.0","28.5","23.7","249.2","385.0","1"
"200","50","Gemma-SEA-LION v4 4B","zero-shot","976.0","48.0","83.0","171.0","350.0","1"
"201","1","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"202","2","MedGemma 4B","zero-shot","3690.0","66.3","24.8","639.0","350.0","4"
"203","3","MedGemma 4B","zero-shot","4561.0","127.4","51.8","785.0","350.0","4"
"204","4","MedGemma 4B","zero-shot","2759.0","143.0","26.5","672.0","350.0","4"
"205","5","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"206","6","MedGemma 4B","zero-shot","1765.0","49.1","38.0","257.0","350.0","4"
"207","7","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"208","8","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"209","9","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"210","10","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"211","11","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"212","12","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"213","13","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"214","14","MedGemma 4B","zero-shot","3578.0","53.6","29.1","477.8","350.0","4"
"215","15","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"216","16","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"217","17","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"218","18","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"219","19","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"220","20","MedGemma 4B","zero-shot","450.1","12.7","10.6","60.4","450.0","2"
"221","21","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"222","22","MedGemma 4B","zero-shot","2350.0","96.0","49.0","315.0","350.0","4"
"223","23","MedGemma 4B","zero-shot","350.0","15.0","10.0","40.0","350.0","2"
"224","24","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"225","25","MedGemma 4B","zero-shot","419.0","20.5","3.7","14.9","0.0","0"
"226","26","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"227","27","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"228","28","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"229","29","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"230","30","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"231","31","MedGemma 4B","zero-shot","350.0","12.0","10.0","45.0","350.0","2"
"232","32","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"233","33","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"234","34","MedGemma 4B","zero-shot","350.0","8.0","12.5","45.0","350.0","4"
"235","35","MedGemma 4B","zero-shot","1265.0","64.2","17.8","262.0","350.0","2"
"236","36","MedGemma 4B","zero-shot","450.0","18.0","15.0","60.0","450.0","2"
"237","37","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"238","38","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"239","39","MedGemma 4B","zero-shot","450.0","15.0","12.0","50.0","450.0","2"
"240","40","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"241","41","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"242","42","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"243","43","MedGemma 4B","zero-shot","356.0","27.0","12.5","64.5","350.0","4"
"244","44","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"245","45","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"246","46","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"247","47","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"248","48","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"249","49","MedGemma 4B","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"250","50","MedGemma 4B","zero-shot","849.0","27.3","13.6","148.0","350.0","4"
"251","1","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"252","2","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","0"
"253","3","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","4"
"254","4","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"255","5","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"256","6","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"257","7","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"258","8","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"259","9","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"260","10","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"261","11","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"262","12","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"263","13","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"264","14","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"265","15","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"266","16","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"267","17","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"268","18","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"269","19","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","0"
"270","20","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"271","21","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"272","22","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"273","23","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"274","24","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"275","25","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"276","26","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"277","27","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"278","28","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","4"
"279","29","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"280","30","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","4"
"281","31","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"282","32","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","4"
"283","33","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"284","34","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
"285","35","Llama 3.2 3B Instruct","few-shot","0.0","0.0","0.0","0.0","0.0","1"
