experiment_id,transcript_id,model_name,technique_name,json_valid,pred_count,total_calories,serving_calories,servings_estimated
"131","31","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"132","32","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"133","33","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"134","34","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"135","35","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"136","36","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"137","37","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"138","38","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"139","39","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"140","40","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"141","41","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"142","42","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"143","43","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"144","44","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"145","45","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"146","46","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"147","47","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"148","48","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"149","49","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"150","50","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","1","7","972.0","365.0","1"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","1","9","845.0","350.0","1"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","1","7","739.0","350.0","1"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","1","7","847.0","350.0","1"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","1","6","749.0","350.0","1"
"156","6","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","1","8","874.0","375.0","1"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","1","8","783.0","350.0","1"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","1","9","475.0","350.0","1"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","1","11","685.0","365.0","1"
"161","11","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","1","9","635.0","350.0","1"
"163","13","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","1","7","924.0","365.0","1"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","1","9","867.0","365.0","1"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","1","8","763.0","365.0","1"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","1","7","957.0","368.0","1"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","1","9","931.0","380.0","1"
"169","19","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"170","20","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","1","8","945.0","365.0","1"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","1","8","468.0","365.0","1"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","1","9","897.0","365.0","1"
"174","24","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","1","8","831.0","368.0","1"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","1","6","685.0","380.0","1"
"177","27","Gemma-SEA-LION v4 4B","zero-shot","1","8","1072.0","375.0","1"
"178","28","Gemma-SEA-LION v4 4B","zero-shot","1","7","897.0","378.0","1"
"179","29","Gemma-SEA-LION v4 4B","zero-shot","1","7","743.0","365.0","1"
"180","30","Gemma-SEA-LION v4 4B","zero-shot","1","9","798.0","365.0","1"
"181","31","Gemma-SEA-LION v4 4B","zero-shot","1","7","634.0","350.0","1"
"182","32","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"183","33","Gemma-SEA-LION v4 4B","zero-shot","1","10","539.0","365.0","1"
"184","34","Gemma-SEA-LION v4 4B","zero-shot","1","8","674.0","365.0","1"
"185","35","Gemma-SEA-LION v4 4B","zero-shot","1","7","943.0","365.0","1"
"186","36","Gemma-SEA-LION v4 4B","zero-shot","1","8","694.0","385.0","1"
"187","37","Gemma-SEA-LION v4 4B","zero-shot","1","7","687.0","375.0","1"
"188","38","Gemma-SEA-LION v4 4B","zero-shot","1","8","948.0","360.0","1"
"189","39","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"190","40","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"191","41","Gemma-SEA-LION v4 4B","zero-shot","1","8","863.0","365.0","1"
"192","42","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"193","43","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"194","44","Gemma-SEA-LION v4 4B","zero-shot","1","7","861.0","365.0","1"
"195","45","Gemma-SEA-LION v4 4B","zero-shot","1","7","643.0","365.0","1"
"196","46","Gemma-SEA-LION v4 4B","zero-shot","1","7","593.0","368.0","1"
"197","47","Gemma-SEA-LION v4 4B","zero-shot","1","8","742.0","385.0","1"
"198","48","Gemma-SEA-LION v4 4B","zero-shot","0","0","0.0","0.0","0"
"199","49","Gemma-SEA-LION v4 4B","zero-shot","1","10","1389.0","385.0","1"
"200","50","Gemma-SEA-LION v4 4B","zero-shot","1","7","976.0","350.0","1"
"201","1","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"202","2","MedGemma 4B","zero-shot","1","11","3690.0","350.0","4"
"203","3","MedGemma 4B","zero-shot","1","11","4561.0","350.0","4"
"204","4","MedGemma 4B","zero-shot","1","11","2759.0","350.0","4"
"205","5","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"206","6","MedGemma 4B","zero-shot","1","10","1765.0","350.0","4"
"207","7","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"208","8","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"209","9","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"210","10","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"211","11","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"212","12","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"213","13","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"214","14","MedGemma 4B","zero-shot","1","11","3578.0","350.0","4"
"215","15","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"216","16","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"217","17","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"218","18","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"219","19","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"220","20","MedGemma 4B","zero-shot","1","10","450.1","450.0","2"
"221","21","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"222","22","MedGemma 4B","zero-shot","1","11","2350.0","350.0","4"
"223","23","MedGemma 4B","zero-shot","1","10","350.0","350.0","2"
"224","24","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"225","25","MedGemma 4B","zero-shot","1","8","419.0","0.0","0"
"226","26","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"227","27","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"228","28","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"229","29","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"230","30","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"231","31","MedGemma 4B","zero-shot","1","11","350.0","350.0","2"
"232","32","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"233","33","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"234","34","MedGemma 4B","zero-shot","1","9","350.0","350.0","4"
"235","35","MedGemma 4B","zero-shot","1","11","1265.0","350.0","2"
"236","36","MedGemma 4B","zero-shot","1","11","450.0","450.0","2"
"237","37","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"238","38","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"239","39","MedGemma 4B","zero-shot","1","9","450.0","450.0","2"
"240","40","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"241","41","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"242","42","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"243","43","MedGemma 4B","zero-shot","1","11","356.0","350.0","4"
"244","44","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"245","45","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"246","46","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"247","47","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"248","48","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"249","49","MedGemma 4B","zero-shot","0","0","0.0","0.0","0"
"250","50","MedGemma 4B","zero-shot","1","11","849.0","350.0","4"
"251","1","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"252","2","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","0"
"253","3","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","4"
"254","4","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"255","5","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"256","6","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"257","7","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"258","8","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"259","9","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"260","10","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"261","11","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"262","12","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"263","13","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"264","14","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"265","15","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"266","16","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"267","17","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"268","18","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"269","19","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","0"
"270","20","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"271","21","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"272","22","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"273","23","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"274","24","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"275","25","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"276","26","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"277","27","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"278","28","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","4"
"279","29","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"280","30","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","4"
"281","31","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"282","32","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","4"
"283","33","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"284","34","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"285","35","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"286","36","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"287","37","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"288","38","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"289","39","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"290","40","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"291","41","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"292","42","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"293","43","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"294","44","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"295","45","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"296","46","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"297","47","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","4"
"298","48","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"299","49","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","4"
"300","50","Llama 3.2 3B Instruct","few-shot","1","1","0.0","0.0","1"
"301","1","Phi-4-mini 3.8B Instruct","few-shot","1","1","42.0","0.0","1"
"302","2","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"303","3","Phi-4-mini 3.8B Instruct","few-shot","0","0","0.0","0.0","0"
"304","4","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"305","5","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"306","6","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"307","7","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"308","8","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"309","9","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"310","10","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"311","11","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"312","12","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"313","13","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"314","14","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"315","15","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"316","16","Phi-4-mini 3.8B Instruct","few-shot","1","4","202.9","159.5","2"
"317","17","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"318","18","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"319","19","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"320","20","Phi-4-mini 3.8B Instruct","few-shot","1","3","143.0","0.0","1"
"321","21","Phi-4-mini 3.8B Instruct","few-shot","1","7","440.0","440.0","2"
"322","22","Phi-4-mini 3.8B Instruct","few-shot","1","2","391.0","319.0","1"
"323","23","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"324","24","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"325","25","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"326","26","Phi-4-mini 3.8B Instruct","few-shot","1","1","0.0","0.0","1"
"327","27","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"328","28","Phi-4-mini 3.8B Instruct","few-shot","1","1","0.0","0.0","1"
"329","29","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","1"
"330","30","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"331","31","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"332","32","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"333","33","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"334","34","Phi-4-mini 3.8B Instruct","few-shot","1","2","451.0","317.0","1"
"335","35","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"336","36","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"337","37","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
"338","38","Phi-4-mini 3.8B Instruct","few-shot","1","3","391.0","319.0","1"
"339","39","Phi-4-mini 3.8B Instruct","few-shot","1","0","0.0","0.0","0"
