experiment_id,transcript_id,model_name,technique_name,pred_ingredient_count,gt_ingredient_count
"137","37","Qwen 2.5 3B Instruct","zero-shot","1","10"
"138","38","Qwen 2.5 3B Instruct","zero-shot","1","21"
"139","39","Qwen 2.5 3B Instruct","zero-shot","1","11"
"140","40","Qwen 2.5 3B Instruct","zero-shot","1","22"
"141","41","Qwen 2.5 3B Instruct","zero-shot","1","10"
"142","42","Qwen 2.5 3B Instruct","zero-shot","1","2"
"143","43","Qwen 2.5 3B Instruct","zero-shot","1","9"
"144","44","Qwen 2.5 3B Instruct","zero-shot","1","17"
"145","45","Qwen 2.5 3B Instruct","zero-shot","1","14"
"146","46","Qwen 2.5 3B Instruct","zero-shot","1","5"
"147","47","Qwen 2.5 3B Instruct","zero-shot","1","20"
"148","48","Qwen 2.5 3B Instruct","zero-shot","1","4"
"149","49","Qwen 2.5 3B Instruct","zero-shot","1","13"
"150","50","Qwen 2.5 3B Instruct","zero-shot","1","13"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","7","9"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","9","14"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","7","19"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","7","15"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","6","12"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","8","15"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","8","9"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","9","20"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","11","13"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","9","12"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","7","8"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","9","15"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","8","10"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","7","7"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","9","7"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","8","15"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","8","12"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","9","5"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","8","15"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","6","20"
"177","27","Gemma-SEA-LION v4 4B","zero-shot","8","8"
"178","28","Gemma-SEA-LION v4 4B","zero-shot","7","10"
"179","29","Gemma-SEA-LION v4 4B","zero-shot","7","8"
"180","30","Gemma-SEA-LION v4 4B","zero-shot","9","16"
"181","31","Gemma-SEA-LION v4 4B","zero-shot","7","17"
"183","33","Gemma-SEA-LION v4 4B","zero-shot","10","14"
"184","34","Gemma-SEA-LION v4 4B","zero-shot","8","13"
"185","35","Gemma-SEA-LION v4 4B","zero-shot","7","9"
"186","36","Gemma-SEA-LION v4 4B","zero-shot","8","18"
"187","37","Gemma-SEA-LION v4 4B","zero-shot","7","10"
"188","38","Gemma-SEA-LION v4 4B","zero-shot","8","21"
"191","41","Gemma-SEA-LION v4 4B","zero-shot","8","10"
"194","44","Gemma-SEA-LION v4 4B","zero-shot","7","17"
"195","45","Gemma-SEA-LION v4 4B","zero-shot","7","14"
"196","46","Gemma-SEA-LION v4 4B","zero-shot","7","5"
"197","47","Gemma-SEA-LION v4 4B","zero-shot","8","20"
"199","49","Gemma-SEA-LION v4 4B","zero-shot","10","13"
"200","50","Gemma-SEA-LION v4 4B","zero-shot","7","13"
"202","2","MedGemma 4B","zero-shot","11","14"
"203","3","MedGemma 4B","zero-shot","11","19"
"204","4","MedGemma 4B","zero-shot","11","15"
"206","6","MedGemma 4B","zero-shot","10","8"
"214","14","MedGemma 4B","zero-shot","11","8"
"220","20","MedGemma 4B","zero-shot","10","7"
"222","22","MedGemma 4B","zero-shot","11","12"
"223","23","MedGemma 4B","zero-shot","10","5"
"225","25","MedGemma 4B","zero-shot","8","15"
"231","31","MedGemma 4B","zero-shot","11","17"
"234","34","MedGemma 4B","zero-shot","9","13"
"235","35","MedGemma 4B","zero-shot","11","9"
"236","36","MedGemma 4B","zero-shot","11","18"
"239","39","MedGemma 4B","zero-shot","9","11"
"243","43","MedGemma 4B","zero-shot","11","9"
"250","50","MedGemma 4B","zero-shot","11","13"
"251","1","Llama 3.2 3B Instruct","few-shot","1","9"
"252","2","Llama 3.2 3B Instruct","few-shot","1","14"
"253","3","Llama 3.2 3B Instruct","few-shot","1","19"
"254","4","Llama 3.2 3B Instruct","few-shot","1","15"
"255","5","Llama 3.2 3B Instruct","few-shot","1","12"
"256","6","Llama 3.2 3B Instruct","few-shot","1","8"
"257","7","Llama 3.2 3B Instruct","few-shot","1","15"
"258","8","Llama 3.2 3B Instruct","few-shot","1","9"
"259","9","Llama 3.2 3B Instruct","few-shot","1","20"
"260","10","Llama 3.2 3B Instruct","few-shot","1","13"
"261","11","Llama 3.2 3B Instruct","few-shot","1","25"
"262","12","Llama 3.2 3B Instruct","few-shot","1","12"
"263","13","Llama 3.2 3B Instruct","few-shot","1","5"
"264","14","Llama 3.2 3B Instruct","few-shot","1","8"
"265","15","Llama 3.2 3B Instruct","few-shot","1","15"
"266","16","Llama 3.2 3B Instruct","few-shot","1","10"
"267","17","Llama 3.2 3B Instruct","few-shot","1","7"
"268","18","Llama 3.2 3B Instruct","few-shot","1","7"
"269","19","Llama 3.2 3B Instruct","few-shot","1","3"
"270","20","Llama 3.2 3B Instruct","few-shot","1","7"
"271","21","Llama 3.2 3B Instruct","few-shot","1","15"
"272","22","Llama 3.2 3B Instruct","few-shot","1","12"
"273","23","Llama 3.2 3B Instruct","few-shot","1","5"
"274","24","Llama 3.2 3B Instruct","few-shot","1","7"
"275","25","Llama 3.2 3B Instruct","few-shot","1","15"
"276","26","Llama 3.2 3B Instruct","few-shot","1","20"
"277","27","Llama 3.2 3B Instruct","few-shot","1","8"
"278","28","Llama 3.2 3B Instruct","few-shot","1","10"
"279","29","Llama 3.2 3B Instruct","few-shot","1","8"
"280","30","Llama 3.2 3B Instruct","few-shot","1","16"
"281","31","Llama 3.2 3B Instruct","few-shot","1","17"
"282","32","Llama 3.2 3B Instruct","few-shot","1","12"
"283","33","Llama 3.2 3B Instruct","few-shot","1","14"
"284","34","Llama 3.2 3B Instruct","few-shot","1","13"
"285","35","Llama 3.2 3B Instruct","few-shot","1","9"
"286","36","Llama 3.2 3B Instruct","few-shot","1","18"
"287","37","Llama 3.2 3B Instruct","few-shot","1","10"
"288","38","Llama 3.2 3B Instruct","few-shot","1","21"
"289","39","Llama 3.2 3B Instruct","few-shot","1","11"
"290","40","Llama 3.2 3B Instruct","few-shot","1","22"
"291","41","Llama 3.2 3B Instruct","few-shot","1","10"
"292","42","Llama 3.2 3B Instruct","few-shot","1","2"
"293","43","Llama 3.2 3B Instruct","few-shot","1","9"
"294","44","Llama 3.2 3B Instruct","few-shot","1","17"
"295","45","Llama 3.2 3B Instruct","few-shot","1","14"
"296","46","Llama 3.2 3B Instruct","few-shot","1","5"
"297","47","Llama 3.2 3B Instruct","few-shot","1","20"
"298","48","Llama 3.2 3B Instruct","few-shot","1","4"
"299","49","Llama 3.2 3B Instruct","few-shot","1","13"
"300","50","Llama 3.2 3B Instruct","few-shot","1","13"
"301","1","Phi-4-mini 3.8B Instruct","few-shot","1","9"
"305","5","Phi-4-mini 3.8B Instruct","few-shot","3","12"
"306","6","Phi-4-mini 3.8B Instruct","few-shot","3","8"
"310","10","Phi-4-mini 3.8B Instruct","few-shot","3","13"
"314","14","Phi-4-mini 3.8B Instruct","few-shot","3","8"
"316","16","Phi-4-mini 3.8B Instruct","few-shot","4","10"
"317","17","Phi-4-mini 3.8B Instruct","few-shot","3","7"
"318","18","Phi-4-mini 3.8B Instruct","few-shot","3","7"
"320","20","Phi-4-mini 3.8B Instruct","few-shot","3","7"
"321","21","Phi-4-mini 3.8B Instruct","few-shot","7","15"
"322","22","Phi-4-mini 3.8B Instruct","few-shot","2","12"
"326","26","Phi-4-mini 3.8B Instruct","few-shot","1","20"
"328","28","Phi-4-mini 3.8B Instruct","few-shot","1","10"
"330","30","Phi-4-mini 3.8B Instruct","few-shot","3","16"
"333","33","Phi-4-mini 3.8B Instruct","few-shot","3","14"
"334","34","Phi-4-mini 3.8B Instruct","few-shot","2","13"
"335","35","Phi-4-mini 3.8B Instruct","few-shot","3","9"
"336","36","Phi-4-mini 3.8B Instruct","few-shot","3","18"
"338","38","Phi-4-mini 3.8B Instruct","few-shot","3","21"
"340","40","Phi-4-mini 3.8B Instruct","few-shot","3","22"
"343","43","Phi-4-mini 3.8B Instruct","few-shot","3","9"
"345","45","Phi-4-mini 3.8B Instruct","few-shot","6","14"
"346","46","Phi-4-mini 3.8B Instruct","few-shot","3","5"
"347","47","Phi-4-mini 3.8B Instruct","few-shot","3","20"
"349","49","Phi-4-mini 3.8B Instruct","few-shot","3","13"
"350","50","Phi-4-mini 3.8B Instruct","few-shot","3","13"
"351","1","Qwen 2.5 3B Instruct","few-shot","7","9"
"352","2","Qwen 2.5 3B Instruct","few-shot","6","14"
"353","3","Qwen 2.5 3B Instruct","few-shot","5","19"
"354","4","Qwen 2.5 3B Instruct","few-shot","8","15"
"355","5","Qwen 2.5 3B Instruct","few-shot","9","12"
"357","7","Qwen 2.5 3B Instruct","few-shot","8","15"
"358","8","Qwen 2.5 3B Instruct","few-shot","13","9"
"359","9","Qwen 2.5 3B Instruct","few-shot","11","20"
"360","10","Qwen 2.5 3B Instruct","few-shot","5","13"
"361","11","Qwen 2.5 3B Instruct","few-shot","11","25"
"362","12","Qwen 2.5 3B Instruct","few-shot","7","12"
"364","14","Qwen 2.5 3B Instruct","few-shot","4","8"
"365","15","Qwen 2.5 3B Instruct","few-shot","8","15"
"366","16","Qwen 2.5 3B Instruct","few-shot","5","10"
"367","17","Qwen 2.5 3B Instruct","few-shot","4","7"
"369","19","Qwen 2.5 3B Instruct","few-shot","3","3"
"371","21","Qwen 2.5 3B Instruct","few-shot","7","15"
"372","22","Qwen 2.5 3B Instruct","few-shot","6","12"
"373","23","Qwen 2.5 3B Instruct","few-shot","8","5"
"374","24","Qwen 2.5 3B Instruct","few-shot","9","7"
"413","13","Gemma-SEA-LION v4 4B","few-shot","4","5"
"416","16","Gemma-SEA-LION v4 4B","few-shot","5","10"
"417","17","Gemma-SEA-LION v4 4B","few-shot","5","7"
"419","19","Gemma-SEA-LION v4 4B","few-shot","3","3"
"426","26","Gemma-SEA-LION v4 4B","few-shot","3","20"
"427","27","Gemma-SEA-LION v4 4B","few-shot","4","8"
"430","30","Gemma-SEA-LION v4 4B","few-shot","6","16"
"432","32","Gemma-SEA-LION v4 4B","few-shot","4","12"
"442","42","Gemma-SEA-LION v4 4B","few-shot","2","2"
"446","46","Gemma-SEA-LION v4 4B","few-shot","5","5"
"466","16","MedGemma 4B","few-shot","5","10"
"467","17","MedGemma 4B","few-shot","5","7"
"469","19","MedGemma 4B","few-shot","2","3"
"476","26","MedGemma 4B","few-shot","3","20"
"477","27","MedGemma 4B","few-shot","4","8"
"480","30","MedGemma 4B","few-shot","6","16"
"482","32","MedGemma 4B","few-shot","5","12"
"485","35","MedGemma 4B","few-shot","6","9"
"492","42","MedGemma 4B","few-shot","2","2"
"501","1","Llama 3.2 3B Instruct","chain-of-thought","2","9"
"503","3","Llama 3.2 3B Instruct","chain-of-thought","4","19"
"504","4","Llama 3.2 3B Instruct","chain-of-thought","1","15"
"505","5","Llama 3.2 3B Instruct","chain-of-thought","8","12"
"507","7","Llama 3.2 3B Instruct","chain-of-thought","3","15"
"508","8","Llama 3.2 3B Instruct","chain-of-thought","1","9"
"509","9","Llama 3.2 3B Instruct","chain-of-thought","10","20"
"510","10","Llama 3.2 3B Instruct","chain-of-thought","6","13"
"513","13","Llama 3.2 3B Instruct","chain-of-thought","5","5"
"514","14","Llama 3.2 3B Instruct","chain-of-thought","4","8"
"516","16","Llama 3.2 3B Instruct","chain-of-thought","8","10"
"518","18","Llama 3.2 3B Instruct","chain-of-thought","1","7"
"520","20","Llama 3.2 3B Instruct","chain-of-thought","3","7"
"521","21","Llama 3.2 3B Instruct","chain-of-thought","8","15"
"524","24","Llama 3.2 3B Instruct","chain-of-thought","4","7"
"526","26","Llama 3.2 3B Instruct","chain-of-thought","4","20"
"527","27","Llama 3.2 3B Instruct","chain-of-thought","4","8"
"529","29","Llama 3.2 3B Instruct","chain-of-thought","2","8"
"531","31","Llama 3.2 3B Instruct","chain-of-thought","1","17"
"536","36","Llama 3.2 3B Instruct","chain-of-thought","4","18"
"537","37","Llama 3.2 3B Instruct","chain-of-thought","5","10"
"543","43","Llama 3.2 3B Instruct","chain-of-thought","2","9"
"544","44","Llama 3.2 3B Instruct","chain-of-thought","4","17"
"547","47","Llama 3.2 3B Instruct","chain-of-thought","8","20"
"548","48","Llama 3.2 3B Instruct","chain-of-thought","4","4"
"549","49","Llama 3.2 3B Instruct","chain-of-thought","1","13"
"550","50","Llama 3.2 3B Instruct","chain-of-thought","7","13"
"552","2","Phi-4-mini 3.8B Instruct","chain-of-thought","1","14"
"555","5","Phi-4-mini 3.8B Instruct","chain-of-thought","1","12"
"557","7","Phi-4-mini 3.8B Instruct","chain-of-thought","1","15"
"562","12","Phi-4-mini 3.8B Instruct","chain-of-thought","1","12"
"569","19","Phi-4-mini 3.8B Instruct","chain-of-thought","4","3"
"572","22","Phi-4-mini 3.8B Instruct","chain-of-thought","4","12"
"573","23","Phi-4-mini 3.8B Instruct","chain-of-thought","1","5"
"576","26","Phi-4-mini 3.8B Instruct","chain-of-thought","4","20"
"579","29","Phi-4-mini 3.8B Instruct","chain-of-thought","1","8"
"582","32","Phi-4-mini 3.8B Instruct","chain-of-thought","2","12"
"583","33","Phi-4-mini 3.8B Instruct","chain-of-thought","1","14"
"586","36","Phi-4-mini 3.8B Instruct","chain-of-thought","1","18"
"592","42","Phi-4-mini 3.8B Instruct","chain-of-thought","4","2"
"595","45","Phi-4-mini 3.8B Instruct","chain-of-thought","4","14"
"596","46","Phi-4-mini 3.8B Instruct","chain-of-thought","1","5"
"601","1","Qwen 2.5 3B Instruct","chain-of-thought","5","9"
"602","2","Qwen 2.5 3B Instruct","chain-of-thought","4","14"
"603","3","Qwen 2.5 3B Instruct","chain-of-thought","12","19"
"651","1","Gemma-SEA-LION v4 4B","chain-of-thought","5","9"
"652","2","Gemma-SEA-LION v4 4B","chain-of-thought","7","14"
"653","3","Gemma-SEA-LION v4 4B","chain-of-thought","5","19"
"654","4","Gemma-SEA-LION v4 4B","chain-of-thought","8","15"
"655","5","Gemma-SEA-LION v4 4B","chain-of-thought","5","12"
"656","6","Gemma-SEA-LION v4 4B","chain-of-thought","8","8"
"657","7","Gemma-SEA-LION v4 4B","chain-of-thought","7","15"
"658","8","Gemma-SEA-LION v4 4B","chain-of-thought","8","9"
"659","9","Gemma-SEA-LION v4 4B","chain-of-thought","7","20"
"660","10","Gemma-SEA-LION v4 4B","chain-of-thought","7","13"
"661","11","Gemma-SEA-LION v4 4B","chain-of-thought","7","25"
"663","13","Gemma-SEA-LION v4 4B","chain-of-thought","7","5"
"664","14","Gemma-SEA-LION v4 4B","chain-of-thought","6","8"
"665","15","Gemma-SEA-LION v4 4B","chain-of-thought","7","15"
"666","16","Gemma-SEA-LION v4 4B","chain-of-thought","7","10"
"667","17","Gemma-SEA-LION v4 4B","chain-of-thought","8","7"
"668","18","Gemma-SEA-LION v4 4B","chain-of-thought","6","7"
"669","19","Gemma-SEA-LION v4 4B","chain-of-thought","6","3"
"670","20","Gemma-SEA-LION v4 4B","chain-of-thought","6","7"
"671","21","Gemma-SEA-LION v4 4B","chain-of-thought","7","15"
"672","22","Gemma-SEA-LION v4 4B","chain-of-thought","5","12"
"673","23","Gemma-SEA-LION v4 4B","chain-of-thought","6","5"
"674","24","Gemma-SEA-LION v4 4B","chain-of-thought","8","7"
"675","25","Gemma-SEA-LION v4 4B","chain-of-thought","7","15"
"676","26","Gemma-SEA-LION v4 4B","chain-of-thought","7","20"
"677","27","Gemma-SEA-LION v4 4B","chain-of-thought","7","8"
"678","28","Gemma-SEA-LION v4 4B","chain-of-thought","5","10"
"679","29","Gemma-SEA-LION v4 4B","chain-of-thought","7","8"
"680","30","Gemma-SEA-LION v4 4B","chain-of-thought","7","16"
"681","31","Gemma-SEA-LION v4 4B","chain-of-thought","7","17"
"682","32","Gemma-SEA-LION v4 4B","chain-of-thought","7","12"
"683","33","Gemma-SEA-LION v4 4B","chain-of-thought","5","14"
"684","34","Gemma-SEA-LION v4 4B","chain-of-thought","6","13"
"685","35","Gemma-SEA-LION v4 4B","chain-of-thought","6","9"
"686","36","Gemma-SEA-LION v4 4B","chain-of-thought","5","18"
"687","37","Gemma-SEA-LION v4 4B","chain-of-thought","6","10"
"688","38","Gemma-SEA-LION v4 4B","chain-of-thought","8","21"
"689","39","Gemma-SEA-LION v4 4B","chain-of-thought","7","11"
"690","40","Gemma-SEA-LION v4 4B","chain-of-thought","8","22"
"691","41","Gemma-SEA-LION v4 4B","chain-of-thought","6","10"
"692","42","Gemma-SEA-LION v4 4B","chain-of-thought","7","2"
"693","43","Gemma-SEA-LION v4 4B","chain-of-thought","7","9"
"694","44","Gemma-SEA-LION v4 4B","chain-of-thought","7","17"
"695","45","Gemma-SEA-LION v4 4B","chain-of-thought","6","14"
"696","46","Gemma-SEA-LION v4 4B","chain-of-thought","5","5"
"697","47","Gemma-SEA-LION v4 4B","chain-of-thought","5","20"
"698","48","Gemma-SEA-LION v4 4B","chain-of-thought","8","4"
"699","49","Gemma-SEA-LION v4 4B","chain-of-thought","8","13"
"700","50","Gemma-SEA-LION v4 4B","chain-of-thought","8","13"
"751","1","Llama 3.2 3B Instruct","structured-output","1","9"
"753","3","Llama 3.2 3B Instruct","structured-output","5","19"
"755","5","Llama 3.2 3B Instruct","structured-output","10","12"
"756","6","Llama 3.2 3B Instruct","structured-output","4","8"
"757","7","Llama 3.2 3B Instruct","structured-output","5","15"
"759","9","Llama 3.2 3B Instruct","structured-output","4","20"
"760","10","Llama 3.2 3B Instruct","structured-output","4","13"
"761","11","Llama 3.2 3B Instruct","structured-output","6","25"
"763","13","Llama 3.2 3B Instruct","structured-output","4","5"
"764","14","Llama 3.2 3B Instruct","structured-output","4","8"
"765","15","Llama 3.2 3B Instruct","structured-output","4","15"
"766","16","Llama 3.2 3B Instruct","structured-output","5","10"
"767","17","Llama 3.2 3B Instruct","structured-output","10","7"
"768","18","Llama 3.2 3B Instruct","structured-output","5","7"
"769","19","Llama 3.2 3B Instruct","structured-output","5","3"
"770","20","Llama 3.2 3B Instruct","structured-output","4","7"
"771","21","Llama 3.2 3B Instruct","structured-output","5","15"
"773","23","Llama 3.2 3B Instruct","structured-output","5","5"
"775","25","Llama 3.2 3B Instruct","structured-output","4","15"
"777","27","Llama 3.2 3B Instruct","structured-output","6","8"
"778","28","Llama 3.2 3B Instruct","structured-output","7","10"
"779","29","Llama 3.2 3B Instruct","structured-output","9","8"
"781","31","Llama 3.2 3B Instruct","structured-output","1","17"
"782","32","Llama 3.2 3B Instruct","structured-output","11","12"
"784","34","Llama 3.2 3B Instruct","structured-output","1","13"
"785","35","Llama 3.2 3B Instruct","structured-output","4","9"
"786","36","Llama 3.2 3B Instruct","structured-output","5","18"
"788","38","Llama 3.2 3B Instruct","structured-output","6","21"
"789","39","Llama 3.2 3B Instruct","structured-output","5","11"
"791","41","Llama 3.2 3B Instruct","structured-output","4","10"
"792","42","Llama 3.2 3B Instruct","structured-output","3","2"
"793","43","Llama 3.2 3B Instruct","structured-output","6","9"
"794","44","Llama 3.2 3B Instruct","structured-output","1","17"
"795","45","Llama 3.2 3B Instruct","structured-output","3","14"
"796","46","Llama 3.2 3B Instruct","structured-output","8","5"
"797","47","Llama 3.2 3B Instruct","structured-output","4","20"
"798","48","Llama 3.2 3B Instruct","structured-output","5","4"
"799","49","Llama 3.2 3B Instruct","structured-output","4","13"
"800","50","Llama 3.2 3B Instruct","structured-output","6","13"
"804","4","Phi-4-mini 3.8B Instruct","structured-output","1","15"
"806","6","Phi-4-mini 3.8B Instruct","structured-output","1","8"
"807","7","Phi-4-mini 3.8B Instruct","structured-output","1","15"
"809","9","Phi-4-mini 3.8B Instruct","structured-output","1","20"
"810","10","Phi-4-mini 3.8B Instruct","structured-output","1","13"
"811","11","Phi-4-mini 3.8B Instruct","structured-output","1","25"
"813","13","Phi-4-mini 3.8B Instruct","structured-output","1","5"
"814","14","Phi-4-mini 3.8B Instruct","structured-output","1","8"
"816","16","Phi-4-mini 3.8B Instruct","structured-output","1","10"
"817","17","Phi-4-mini 3.8B Instruct","structured-output","1","7"
"818","18","Phi-4-mini 3.8B Instruct","structured-output","1","7"
"820","20","Phi-4-mini 3.8B Instruct","structured-output","1","7"
"822","22","Phi-4-mini 3.8B Instruct","structured-output","1","12"
"824","24","Phi-4-mini 3.8B Instruct","structured-output","1","7"
"826","26","Phi-4-mini 3.8B Instruct","structured-output","1","20"
"828","28","Phi-4-mini 3.8B Instruct","structured-output","1","10"
"831","31","Phi-4-mini 3.8B Instruct","structured-output","1","17"
"833","33","Phi-4-mini 3.8B Instruct","structured-output","1","14"
"834","34","Phi-4-mini 3.8B Instruct","structured-output","1","13"
"837","37","Phi-4-mini 3.8B Instruct","structured-output","1","10"
"838","38","Phi-4-mini 3.8B Instruct","structured-output","1","21"
"841","41","Phi-4-mini 3.8B Instruct","structured-output","1","10"
"844","44","Phi-4-mini 3.8B Instruct","structured-output","1","17"
"846","46","Phi-4-mini 3.8B Instruct","structured-output","1","5"
"848","48","Phi-4-mini 3.8B Instruct","structured-output","1","4"
"849","49","Phi-4-mini 3.8B Instruct","structured-output","1","13"
"850","50","Phi-4-mini 3.8B Instruct","structured-output","1","13"
"851","1","Qwen 2.5 3B Instruct","structured-output","1","9"
"852","2","Qwen 2.5 3B Instruct","structured-output","1","14"
"853","3","Qwen 2.5 3B Instruct","structured-output","1","19"
"854","4","Qwen 2.5 3B Instruct","structured-output","1","15"
"855","5","Qwen 2.5 3B Instruct","structured-output","1","12"
"856","6","Qwen 2.5 3B Instruct","structured-output","7","8"
"857","7","Qwen 2.5 3B Instruct","structured-output","2","15"
"858","8","Qwen 2.5 3B Instruct","structured-output","1","9"
"859","9","Qwen 2.5 3B Instruct","structured-output","2","20"
"860","10","Qwen 2.5 3B Instruct","structured-output","8","13"
"861","11","Qwen 2.5 3B Instruct","structured-output","1","25"
"862","12","Qwen 2.5 3B Instruct","structured-output","1","12"
"863","13","Qwen 2.5 3B Instruct","structured-output","6","5"
"864","14","Qwen 2.5 3B Instruct","structured-output","2","8"
"865","15","Qwen 2.5 3B Instruct","structured-output","1","15"
