experiment_id,transcript_id,model_name,technique_name,name_original,name_en,hallucination_flag
"14","14","Llama 3.2 3B Instruct","zero-shot","","","NO"
"17","17","Llama 3.2 3B Instruct","zero-shot","","","NO"
"20","20","Llama 3.2 3B Instruct","zero-shot","nasi lemak","coconut rice","NO"
"20","20","Llama 3.2 3B Instruct","zero-shot","kacang hijau","green beans","NO"
"20","20","Llama 3.2 3B Instruct","zero-shot","tempe","tempeh","NO"
"20","20","Llama 3.2 3B Instruct","zero-shot","daging ayam","chicken meat","NO"
"20","20","Llama 3.2 3B Instruct","zero-shot","bawang putih","garlic","NO"
"20","20","Llama 3.2 3B Instruct","zero-shot","daun salam","bay leaves","NO"
"21","21","Llama 3.2 3B Instruct","zero-shot","Kacang hijau (kangkung)","","NO"
"21","21","Llama 3.2 3B Instruct","zero-shot","Gula melaka","","NO"
"21","21","Llama 3.2 3B Instruct","zero-shot","Bawang putih","","NO"
"21","21","Llama 3.2 3B Instruct","zero-shot","Ayam goreng (kueh teoh)","","NO"
"25","25","Llama 3.2 3B Instruct","zero-shot","Kacang Hijau","Spinach","NO"
"25","25","Llama 3.2 3B Instruct","zero-shot","Daging Ayam","Chicken Breast","NO"
"25","25","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic","NO"
"25","25","Llama 3.2 3B Instruct","zero-shot","Lada Hitam","Black Pepper","NO"
"27","27","Llama 3.2 3B Instruct","zero-shot","","","NO"
"27","27","Llama 3.2 3B Instruct","zero-shot","","","NO"
"27","27","Llama 3.2 3B Instruct","zero-shot","","","NO"
"27","27","Llama 3.2 3B Instruct","zero-shot","","","NO"
"27","27","Llama 3.2 3B Instruct","zero-shot","","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","ulas","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","bawang merah","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","bawang putih","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","biji cabai","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","ketul galanggal","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","biji ketumbar","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","gula","","NO"
"34","34","Llama 3.2 3B Instruct","zero-shot","asam jawa","","NO"
"35","35","Llama 3.2 3B Instruct","zero-shot","","","NO"
"35","35","Llama 3.2 3B Instruct","zero-shot","","","NO"
"35","35","Llama 3.2 3B Instruct","zero-shot","","","NO"
"35","35","Llama 3.2 3B Instruct","zero-shot","","","NO"
"35","35","Llama 3.2 3B Instruct","zero-shot","","","NO"
"35","35","Llama 3.2 3B Instruct","zero-shot","","","NO"
"37","37","Llama 3.2 3B Instruct","zero-shot","Pancake","","NO"
"37","37","Llama 3.2 3B Instruct","zero-shot","Sambal","","NO"
"37","37","Llama 3.2 3B Instruct","zero-shot","Daging","Beef","NO"
"37","37","Llama 3.2 3B Instruct","zero-shot","Daun Salam","","NO"
"37","37","Llama 3.2 3B Instruct","zero-shot","Daun Jeruk","","NO"
"37","37","Llama 3.2 3B Instruct","zero-shot","Terong","","NO"
"40","40","Llama 3.2 3B Instruct","zero-shot","","Chicken","NO"
"40","40","Llama 3.2 3B Instruct","zero-shot","","Red Onion","NO"
"40","40","Llama 3.2 3B Instruct","zero-shot","","Green Peas","NO"
"40","40","Llama 3.2 3B Instruct","zero-shot","","Fresh Coriander","NO"
"40","40","Llama 3.2 3B Instruct","zero-shot","","Black Pepper","NO"
"40","40","Llama 3.2 3B Instruct","zero-shot","","Palm Sugar Oil","NO"
"43","43","Llama 3.2 3B Instruct","zero-shot","","","NO"
"43","43","Llama 3.2 3B Instruct","zero-shot","","","NO"
"43","43","Llama 3.2 3B Instruct","zero-shot","","","NO"
"44","44","Llama 3.2 3B Instruct","zero-shot","","","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Gula melaka","Jaggery","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Garam halus","Black pepper","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Bawang putih","Garlic","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Lada hitam","Ground cinnamon","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Kayu manis","Cinnamon bark","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Kacang pandan","Pandan seeds","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Santan","Coconut milk","NO"
"45","45","Llama 3.2 3B Instruct","zero-shot","Telur ayam","Chicken egg","NO"
"48","48","Llama 3.2 3B Instruct","zero-shot","Nasi lemak","Coconut rice","NO"
"48","48","Llama 3.2 3B Instruct","zero-shot","Sambal","Sambal sauce","NO"
"48","48","Llama 3.2 3B Instruct","zero-shot","Ikan bilis","Dried anchovies","NO"
"48","48","Llama 3.2 3B Instruct","zero-shot","Tempoyak (ketul nasi)","Fermented rice","NO"
"51","1","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","ikan bilis","milkfish","NO"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","padi belapis","rice noodles","NO"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","ayam masak","grilled chicken breast, medium size (140 grams)","NO"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","cuka nipis","white sugar, powdered (approx. tablespoon)","NO"
"54","4","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"55","5","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"57","7","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"58","8","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"59","9","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","ikan masak","grilled fish","NO"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","bumbu masak","spice mix","NO"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","bawang bombai","shallots","NO"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","keladi","coriander leaves","NO"
"62","12","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"64","14","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"65","15","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"66","16","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","ikan masak","cooked fish","NO"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","pohon ikan masak","cooked fish bones","NO"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","ketumbar","ginger","NO"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","dressing","","NO"
"77","27","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"78","28","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"81","31","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"84","34","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","daging ayam","chicken meat","NO"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","ketumbar","","NO"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","bawang merah","","NO"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"86","36","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"94","44","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"96","46","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"97","47","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","daging ayam","chicken meat","NO"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","bawang merah","red onions","NO"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","kentang bawang","shallow-fried potato with onion","NO"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","ikan bilis","grilled tuna","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","pekel ikan bilis","tuna roe","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","bawang merah","red onion","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","kentang merah","mushroom tomato","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","bawang putih","white onion","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","ketumbar","","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","","","NO"
"101","1","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"102","2","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"103","3","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"104","4","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"105","5","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"106","6","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"107","7","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"108","8","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"109","9","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"110","10","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"111","11","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"112","12","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"113","13","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"114","14","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"115","15","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"116","16","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"117","17","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"118","18","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"119","19","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"120","20","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"121","21","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"122","22","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"123","23","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"124","24","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"125","25","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"126","26","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"127","27","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"128","28","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"129","29","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"130","30","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"131","31","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"132","32","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"133","33","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"134","34","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"135","35","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"136","36","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"137","37","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"138","38","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"139","39","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"140","40","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"141","41","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"142","42","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"143","43","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"144","44","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"145","45","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"146","46","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"147","47","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"148","48","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"149","49","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"150","50","Qwen 2.5 3B Instruct","zero-shot","","","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","air rendam pulut","coconut milk","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot"," kacang merah","red beans","NO"
"151","1","Gemma-SEA-LION v4 4B","zero-shot","sambal","chili paste","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","air asam buang","tamarind juice","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","bawang merah","red onion","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","bawang putih","garlic","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","ikan bilah","dried mackerel","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","sos cili","chili sauce","NO"
"152","2","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","air pati","coconut milk","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","bendi","ladies finger","NO"
"153","3","Gemma-SEA-LION v4 4B","zero-shot","songe","preserved radish","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","kurang lemak","coconut milk","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","songe"," peanuts","NO"
"154","4","Gemma-SEA-LION v4 4B","zero-shot","sambal"," sambal oelek","NO"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","air asam buaya","tamarind paste","NO"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"155","5","Gemma-SEA-LION v4 4B","zero-shot","sonke"," peanuts","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","air rendam beras","rice washing water","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot"," kacang merah","red beans","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","sambal oelek","spicy chili paste","NO"
"157","7","Gemma-SEA-LION v4 4B","zero-shot","serai","galangal","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","air pati","coconut milk","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","bendi","ladies finger","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","sosu","soy sauce","NO"
"158","8","Gemma-SEA-LION v4 4B","zero-shot","sambal belacan","chilli paste","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","air rendam beras","rice water","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","kunyit","turmeric","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","sos cili","chili sauce","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","serai","galangal","NO"
"159","9","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","air rendam pulut","coconut milk","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","dried anchovies","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","songe","preserved vegetables","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","bawang merah","red onion","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","bawang putih","garlic","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","cuka","vinegar","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","serai","lemongrass","NO"
"160","10","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","air rendam beras","rice soaking water","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","songe","preserved vegetables","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","buah parang","ginger flower buds","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","sosu","sugar palm","NO"
"162","12","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","kunyit","turmeric","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","asam limau","lime juice","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"164","14","Gemma-SEA-LION v4 4B","zero-shot"," kacang merah","red beans","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","kunyit","turmeric","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","emas","coconut milk","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","bendi","ladies finger","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","cabai","chili peppers","NO"
"165","15","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","air rendam pulut","coconut milk","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","songe","preserved vegetables","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","buah keluwak","jackfruit","NO"
"166","16","Gemma-SEA-LION v4 4B","zero-shot","sos cili api","spicy chili sauce","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","air rendam pulut","coconut milk","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","dried anchovies","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","kacang merah","red beans","NO"
"167","17","Gemma-SEA-LION v4 4B","zero-shot","sambal oelek","spicy chili paste","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","air pati","coconut milk","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","badam","almonds","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","sos cili","chili sauce","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","serai","ginger","NO"
"168","18","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","asam limau","candlenut paste","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","bunga telang","butterfly pea flower","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","bawang merah","red onion","NO"
"171","21","Gemma-SEA-LION v4 4B","zero-shot","cili api","chili peppers","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","air rendam beras","rice soaking water","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","songe","preserved cucumber","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","buah parang","carambola","NO"
"172","22","Gemma-SEA-LION v4 4B","zero-shot","sosu","sambal oelek","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","air","water","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","coconut milk","coconut milk","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","bendi","ladyfingers","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","sos cili","chili sauce","NO"
"173","23","Gemma-SEA-LION v4 4B","zero-shot","secukup rasa","to taste","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","air rendam pulut","coconut milk","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","dried anchovies","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","badam","almonds","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","buah keras","hard-boiled egg","NO"
"175","25","Gemma-SEA-LION v4 4B","zero-shot","sambal","chili paste","NO"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","nasi","rice","NO"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","daun pandan","pandan leaves","NO"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","asam limau","candlenuts","NO"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","ikan bilis","anchovies","NO"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","telur","egg","NO"
"176","26","Gemma-SEA-LION v4 4B","zero-shot","songe","preserved radish","NO"
