experiment_id,transcript_id,model_name,technique_name,name_en,quantity_value,estimated_weight_g,quantity_value_culinary,estimated_weight_g
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0",,"5.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0",,"20.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0","1.0","15.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","20.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","5.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","1.0","240.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","0.75","180.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","0.6","144.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","1.0","15.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","3.0","720.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","5.0","75.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","400.0","400.0","2.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","5.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","1.0","240.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","0.75","180.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","0.6","144.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","1.0","15.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","3.0","720.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","5.0","75.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","30.0","30.0","2.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","5.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","1.0","240.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","0.75","180.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","0.6","144.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","1.0","15.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","3.0","720.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","5.0","75.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","200.0","200.0","2.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","5.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","1.0","240.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","0.75","180.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","0.6","144.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","1.0","15.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","3.0","720.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","5.0","75.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","0.0","480.0","2.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","5.0","10.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","1.0","240.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","0.75","180.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","0.6","144.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","1.0","15.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0",,"5.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","2.0","480.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","3.0","720.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","5.0","75.0"
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","400.0","400.0","2.0","10.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic","2.0","6.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic","2.0","6.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic","2.0","6.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic","2.0","6.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic","2.0","6.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Palm Leaves (Betel Leaves)","0.0","2.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Palm Leaves (Betel Leaves)","0.0","2.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Palm Leaves (Betel Leaves)","0.0","2.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Palm Leaves (Betel Leaves)","0.0","2.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Palm Leaves (Betel Leaves)","0.0","2.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Palm Sugar","0.0","2.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Palm Sugar","0.0","2.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Palm Sugar","0.0","2.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Palm Sugar","0.0","2.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Palm Sugar","0.0","2.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Lime","2.0","200.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Lime","2.0","200.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Lime","2.0","200.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Lime","2.0","200.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Lime","2.0","200.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Soy Sauce","2.0","100.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Soy Sauce","2.0","100.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Soy Sauce","2.0","100.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Soy Sauce","2.0","100.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Soy Sauce","2.0","100.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic Clove","4.0","12.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic Clove","4.0","12.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic Clove","4.0","12.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic Clove","4.0","12.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic Clove","4.0","12.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Teriyaki Sauce","2.0","50.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Teriyaki Sauce","2.0","50.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Teriyaki Sauce","2.0","50.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Teriyaki Sauce","2.0","50.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","Teriyaki Sauce","2.0","50.0",,"20.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","White Rice","4.0","800.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","White Rice","4.0","800.0","1.0","240.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","White Rice","4.0","800.0","4.0","60.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","White Rice","4.0","800.0",,"5.0"
"13","13","Llama 3.2 3B Instruct","zero-shot","White Rice","4.0","800.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"100.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"15.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"200.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0","2.0","20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","200.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"100.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"15.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"200.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0","2.0","20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","2.0","1.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"100.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"15.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"200.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0","2.0","20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","10.0","15.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"100.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"15.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"200.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0","2.0","20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","1000.0","1000.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"100.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"15.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"200.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0","2.0","20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","100.0","400.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"100.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"15.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"200.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"50.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0","2.0","20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"20.0"
"14","14","Llama 3.2 3B Instruct","zero-shot","","20.0","40.0",,"20.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0","1.0","80.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0","2.0","30.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0","1.0","50.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0","0.75","180.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0",,"20.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0",,"100.0"
"17","17","Llama 3.2 3B Instruct","zero-shot","","0.0","0.0",,"15.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0",,"50.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0",,"100.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0",,"15.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0","1.0","200.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0","1.0","15.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0",,"15.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","2.0","500.0",,"5.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","green beans","0.0","200.0",,"50.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","green beans","0.0","200.0",,"100.0"
"20","20","Llama 3.2 3B Instruct","zero-shot","green beans","0.0","200.0",,"15.0"
